County_FIPS,demand_covered_30,total_demand_of_county,percentage_30,hot_spot,county_name,state_name,priority
01001,19,23,82.60869565,0.041666667,Autauga,AL,18.14166667
01003,30,34,88.23529412,0.016337749,Baldwin,AL,3.532221405
01005,12,12,100,0.046544101,Barbour,AL,46.35326972
01007,3,4,75,0.01775647,Bibb,AL,10.65920895
01009,9,9,100,0.015612802,Blount,AL,6.62295082
01011,8,8,100,0.077279753,Bullock,AL,68.76352396
01013,61,72,84.72222222,0.359550562,Butler,AL,311.1191011
01015,17,18,94.44444444,0.015638847,Calhoun,AL,12.90517646
01017,14,14,100,0.041388281,Chambers,AL,30.55282918
01019,6,6,100,0.023208138,Cherokee,AL,10.48079527
01021,8,8,100,0.01821079,Chilton,AL,13.84384248
01023,13,13,100,0.099426386,Choctaw,AL,86.97820268
01025,15,17,88.23529412,0.069709271,Clarke,AL,59.05072375
01027,3,4,75,0.029899836,Clay,AL,16.86350725
01029,3,3,100,0.02008301,Cleburne,AL,10.87896639
01031,13,21,61.9047619,0.04094525,Coffee,AL,22.14319139
01033,21,22,95.45454545,0.040370676,Colbert,AL,17.25442701
01035,3,3,100,0.02397315,Conecuh,AL,19.38468915
01037,2,2,100,0.018424689,Coosa,AL,9.693228927
01039,9,10,90,0.026773045,Covington,AL,20.67682258
01041,12,15,80,0.10818608,Crenshaw,AL,74.35629282
01043,12,13,92.30769231,0.015793374,Cullman,AL,8.184126444
01045,9,10,90,0.020302507,Dale,AL,15.42787534
01047,39,43,90.69767442,0.107422119,Dallas,AL,101.9435909
01049,42,43,97.6744186,0.060393258,DeKalb,AL,48.44747191
01051,27,34,79.41176471,0.041865734,Elmore,AL,22.611683
01053,6,6,100,0.016073725,Escambia,AL,13.75428633
01055,23,33,69.6969697,0.032057821,Etowah,AL,21.04275348
01057,3,3,100,0.018088634,Fayette,AL,12.73078083
01059,87,94,92.55319149,0.298015345,Franklin,AL,250.8395156
01061,4,4,100,0.015099468,Geneva,AL,12.01162659
01063,12,12,100,0.14241633,Greene,AL,140.337052
01065,14,14,100,0.094041781,Hale,AL,90.27070599
01067,4,4,100,0.023359028,Henry,AL,12.8918477
01069,16,16,100,0.01533272,Houston,AL,10.48451395
01071,8,8,100,0.015356855,Jackson,AL,8.793335125
01073,90,124,72.58064516,0.018790954,Jefferson,AL,12.44149043
01075,3,3,100,0.021531616,Lamar,AL,13.487404
